"C1_metrics","C2_metrics","C3_metrics","C4_metrics","L1_metrics","L2_metrics","L3_metrics","S1_metrics","S2_metrics","S3_metrics","S4_metrics","T2_metrics"
0.831126498937464,0.33969886333668,0.703,0.7442,0.226134081926331,0.0791152071929073,0.0617082899337924,0.0617061706170617,0.352329850819599,0.0606,0.054509602191301,2000
0.82925964747144,0.0411338448875549,0.7458,0.7457,0.226652274524425,0.0794811817251891,0.0606327706979803,0.181418141814181,1.2885843271079,0.1796,0.00120525025371072,200
0.835254434094169,0.0240819533758847,0.7019,0.7419,0.223276436751214,0.0767805554358765,0.0584139280475554,0.234123412341234,1.82993390103512,0.2317,4.53951136054311e-08,100
0.422845718071984,0.172852759556364,0.7476,0.9764,0.41169860922421,0.20570669051917,0.193440748343632,0.377737773777378,0.413189745083073,0.3752,0.340649203037448,2000
0.427913989029949,0.0271373875594992,0.7033,0.9758,0.407773493297671,0.203658147505201,0.191667037594398,0.409240924092409,1.30703169564047,0.4086,0.0042024797434203,200
0.423394212329627,0.0153466850997372,0.7103,0.9786,0.408389642170691,0.204031842703833,0.191505159461699,0.442844284428443,1.8405800649721,0.4394,0.000106214102955183,100
0.172888297061738,0.0719877297587801,0.7481,1,0.4852668570869,0.24263342854345,0.240380058955932,0.481648164816482,0.430453482849673,0.4778,0.440484856724146,2000
0.157831371033003,0.0131315006763277,0.6946,1,0.486312659999342,0.243156329999671,0.24097967163039,0.483148314831483,1.31361007774715,0.4847,0.00540131070156436,200
0.168981790097842,0.0117727115292158,0.6898,1,0.480283085968513,0.240141542984257,0.236594398617482,0.486948694869487,1.84752565303189,0.4894,1.44379611715787e-05,100
0.759444912833119,0.310807029517331,0.6324,0.7009,0.203932098369608,0.0696760320298437,0.0538599178519607,0.0534053405340534,0.348555667325828,0.0549,0.0487655217689592,2000
0.757892404487732,0.0380532701695986,0.6311,0.7017,0.204492020440808,0.0699556917799432,0.0547906864871843,0.156915691569157,1.28802150293519,0.1578,0.000201800971693272,200
0.764651872166734,0.0236622639079874,0.6292,0.6986,0.201709619770988,0.0674175309861742,0.0515615570880039,0.208820882088209,1.82837936239644,0.2089,2.02401910834994e-05,100
0.364915499342644,0.148075161060111,0.6629,0.9771,0.406389642833524,0.20307088653244,0.192667082772375,0.38003800380038,0.399199197459376,0.3809,0.350935194587439,2000
0.372576827741218,0.0234282138401047,0.6619,0.9758,0.40178240764567,0.200702291638918,0.190261683595736,0.40974097409741,1.30307468102754,0.4119,0.00362391184036096,200
0.366703767295737,0.0146010402727843,0.6596,0.9796,0.398865783056857,0.199232898600362,0.187888194175566,0.436243624362436,1.83941913585998,0.4355,1.5030306161789e-05,100
0.144871128232859,0.0598063999015818,0.6806,1,0.48548748433276,0.24274374216638,0.240679835066341,0.478047804780478,0.414929936623253,0.4786,0.43734080162353,2000
0.131739813201831,0.0114947117523432,0.6791,1,0.485061257715694,0.242530628857847,0.240965045743684,0.481248124812481,1.30866967633846,0.4809,0.00490886694436804,200
0.136338083660181,0.0101218054626036,0.6789,1,0.479767651246135,0.239883825623067,0.237055160513656,0.482248224822482,1.84311371964612,0.481,1.81388975256355e-05,100
0.659579255133817,0.270614878501634,0.5899,0.6638,0.184675743022444,0.0611595845007377,0.0482004119254602,0.0457045704570457,0.34541218618784,0.0458,0.0387221708227588,2000
0.658666031472549,0.0335787343571655,0.5904,0.6649,0.185189699320001,0.061279478013419,0.0484483510116341,0.126912691269127,1.28702766123159,0.1277,0.00121148918290331,200
0.664627491233984,0.0217989685933936,0.5889,0.6603,0.183032578660773,0.059244322266487,0.0475306569161665,0.169116911691169,1.8287212186634,0.1673,6.37611016731669e-06,100
0.280545133084049,0.114122374395431,0.6492,0.9821,0.405106612396528,0.202492195162085,0.193844439339857,0.385338533853385,0.38667696525957,0.3857,0.356242299303617,2000
0.294680435849,0.0195495076597059,0.6461,0.976,0.396292487673588,0.197983888701334,0.189037131925165,0.395039503950395,1.2991820898584,0.3989,0.00341880784435427,200
0.294594223976064,0.0130287380918703,0.6439,0.9789,0.391946820017848,0.195793066562344,0.187200505150255,0.425542554255426,1.83685940187001,0.4232,1.35631081895948e-05,100
0.107561381267872,0.0467496885749458,0.6772,1,0.485875099073312,0.242937549536656,0.241432110678683,0.477547754775478,0.397373085346046,0.4795,0.439173306992496,2000
0.0992506334991191,0.0102418124549302,0.6755,1,0.484031000399256,0.242015500199628,0.240412939349113,0.483648364836484,1.30318872208953,0.4835,0.00491744095048534,200
0.0957676801761499,0.00918760260038651,0.6737,1,0.479660629146804,0.239830314573402,0.237428678684591,0.488248824882488,1.83934415787464,0.488,0.000102894371253181,100
0.486659276428108,0.200367569154202,0.5429,0.5491,0.148994293211375,0.0467553464201091,0.0384938796852533,0.0327032703270327,0.346577600661627,0.0336,0.0275049747105352,2000
0.486601010862345,0.0280106403350375,0.5435,0.5525,0.149800212028576,0.0469058135995676,0.0391716050544077,0.0776077607760776,1.28601200653547,0.0781,0.000200874234985091,200
0.49531189343332,0.0176550439821328,0.5419,0.5462,0.147229480292552,0.0447205100919271,0.0364600714364893,0.0981098109810981,1.82874620232402,0.0978,2.20341078485203e-05,100
0.162114307594249,0.0691319814992194,0.632,0.9912,0.399389172940396,0.199680111130939,0.196106006445802,0.385438543854385,0.3722403477467,0.3871,0.350540312398192,2000
0.172724958323796,0.0144730429261614,0.6291,0.9855,0.39065367183288,0.195289818211441,0.190734670320982,0.383738373837384,1.2955066968088,0.3857,0.00462109937937623,200
0.183236780175795,0.0108967124713583,0.6272,0.9853,0.383334156924978,0.191586123310244,0.187334061309881,0.406740674067407,1.83417428540144,0.4046,1.24717410091823e-06,100
0.0624904868884934,0.0294892271964026,0.6714,1,0.484896559063668,0.242448279531834,0.241784866374208,0.484948494849485,0.378251844781566,0.4897,0.430054903866342,2000
0.0682011579799011,0.0090149714566839,0.6681,1,0.48027242315656,0.24013621157828,0.23902897746778,0.476547654765477,1.29715363964669,0.4795,0.00460745308249955,200
0.0435716636347569,0.00847087428042538,0.6663,1,0.477980946673571,0.238990473336786,0.237593817165517,0.487048704870487,1.83545055241436,0.486,6.75705587358084e-06,100
